Days,Head_w1006elev
1,4923.813861
1.006202164,4923.794766
1.01364476,4923.789123
1.022575876,4923.775278
1.033293216,4923.769438
1.046154023,4923.759136
1.061586991,4923.748375
1.080106553,4923.73827
1.102330027,4923.729215
1.128998197,4923.716092
1.161,4923.706446
1.161071267,4923.720488
1.161156788,4923.720816
1.161259412,4923.721538
1.161382562,4923.722194
1.161530341,4923.722719
1.161707677,4923.722588
1.161920479,4923.722654
1.162175842,4923.722588
1.162482277,4923.723375
1.16285,4923.723244
